Text,Label,cue_0,boc_prompt_0,cue_1,boc_prompt_1,cue_2,boc_prompt_2,boc_output_0,boc_label_0,boc_output_1,boc_label_1,boc_output_2,boc_label_2,label_pred
Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg,0,"['keywords', 'special symbols', 'punctuation', 'rhetorical devices', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: keywords, special symbols, punctuation, rhetorical devices, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['rhetorical devices', 'emotional contrasts', 'context', 'special symbols', 'cultural background']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, emotional contrasts, context, special symbols, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'common knowledge', 'emotional words', 'special symbols', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, common knowledge, emotional words, special symbols, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Haley approves of her new hammock 🐭 #ratsofinstagram http://t.co/yvggcaPChg\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm",1,"['emotional contrasts', 'surface emotion', 'emotional words', 'rhetorical devices', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, surface emotion, emotional words, rhetorical devices, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['language style', 'keywords', 'punctuation', 'special symbols', 'cultural background']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: language style, keywords, punctuation, special symbols, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'emotional words', 'surface emotion', 'keywords', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, emotional words, surface emotion, keywords, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout",0,"['emotional contrasts', 'topic', 'common knowledge', 'surface emotion', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, topic, common knowledge, surface emotion, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'cultural background', 'rhetorical devices', 'common knowledge', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, cultural background, rhetorical devices, common knowledge, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'language style', 'special symbols', 'topic', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, language style, special symbols, topic, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
Free Pets and Animals Books #freebiebookdownload http://t.co/yL9ads7Cyf #Pets,0,"['context', 'emotional words', 'cultural background', 'rhetorical devices', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, emotional words, cultural background, rhetorical devices, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Free Pets and Animals Books #freebiebookdownload http://t.co/yL9ads7Cyf #Pets\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['surface emotion', 'punctuation', 'rhetorical devices', 'emotional words', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, punctuation, rhetorical devices, emotional words, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Free Pets and Animals Books #freebiebookdownload http://t.co/yL9ads7Cyf #Pets\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'common knowledge', 'punctuation', 'cultural background', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, common knowledge, punctuation, cultural background, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Free Pets and Animals Books #freebiebookdownload http://t.co/yL9ads7Cyf #Pets\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",not sarcastic,0,[sarcastic],1,not sarcastic,0,0
@PFF_Pete There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.,0,"['emotional words', 'emotional contrasts', 'common knowledge', 'surface emotion', 'cultural background']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, emotional contrasts, common knowledge, surface emotion, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @PFF_Pete There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'keywords', 'punctuation', 'rhetorical devices', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, keywords, punctuation, rhetorical devices, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @PFF_Pete There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['cultural background', 'context', 'emotional words', 'emotional contrasts', 'punctuation']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, context, emotional words, emotional contrasts, punctuation from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        @PFF_Pete There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
Loooovvveeeeeee when my phone gets wiped -.- #not,1,"['punctuation', 'keywords', 'language style', 'topic', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: punctuation, keywords, language style, topic, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Loooovvveeeeeee when my phone gets wiped -.- #not\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'cultural background', 'punctuation', 'topic', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, cultural background, punctuation, topic, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Loooovvveeeeeee when my phone gets wiped -.- #not\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['punctuation', 'keywords', 'topic', 'cultural background', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: punctuation, keywords, topic, cultural background, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Loooovvveeeeeee when my phone gets wiped -.- #not\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,not sarcastic,0,sarcastic,1,1
Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony,1,"['emotional contrasts', 'punctuation', 'language style', 'rhetorical devices', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, punctuation, language style, rhetorical devices, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['language style', 'emotional contrasts', 'keywords', 'emotional words', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: language style, emotional contrasts, keywords, emotional words, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['special symbols', 'cultural background', 'common knowledge', 'language style', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: special symbols, cultural background, common knowledge, language style, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,not sarcastic,0,1
Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm,1,"['emotional words', 'emotional contrasts', 'cultural background', 'context', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, emotional contrasts, cultural background, context, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'special symbols', 'language style', 'emotional contrasts', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, special symbols, language style, emotional contrasts, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['common knowledge', 'keywords', 'punctuation', 'special symbols', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: common knowledge, keywords, punctuation, special symbols, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
I just love being ignored😊|#not😒,1,"['keywords', 'emotional words', 'context', 'emotional contrasts', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: keywords, emotional words, context, emotional contrasts, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        I just love being ignored😊|#not😒\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'rhetorical devices', 'emotional contrasts', 'cultural background', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, rhetorical devices, emotional contrasts, cultural background, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        I just love being ignored😊|#not😒\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'special symbols', 'common knowledge', 'cultural background', 'surface emotion']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, special symbols, common knowledge, cultural background, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        I just love being ignored😊|#not😒\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,not sarcastic,0,sarcastic,1,1
"#Irony RT @West1Jess: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar.",1,"['surface emotion', 'special symbols', 'punctuation', 'rhetorical devices', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, special symbols, punctuation, rhetorical devices, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #Irony RT @West1Jess: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['punctuation', 'common knowledge', 'rhetorical devices', 'topic', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: punctuation, common knowledge, rhetorical devices, topic, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #Irony RT @West1Jess: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['punctuation', 'surface emotion', 'keywords', 'common knowledge', 'emotional contrasts']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: punctuation, surface emotion, keywords, common knowledge, emotional contrasts from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        #Irony RT @West1Jess: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
Produce Mobile Apps #not http://t.co/3OV57ZhqcH http://t.co/wX1DbI8W9M,1,"['topic', 'context', 'language style', 'emotional contrasts', 'cultural background']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, context, language style, emotional contrasts, cultural background from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Produce Mobile Apps #not http://t.co/3OV57ZhqcH http://t.co/wX1DbI8W9M\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'surface emotion', 'common knowledge', 'cultural background', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, surface emotion, common knowledge, cultural background, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Produce Mobile Apps #not http://t.co/3OV57ZhqcH http://t.co/wX1DbI8W9M\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['special symbols', 'punctuation', 'language style', 'context', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: special symbols, punctuation, language style, context, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Produce Mobile Apps #not http://t.co/3OV57ZhqcH http://t.co/wX1DbI8W9M\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,not sarcastic,0,sarcastic,1,1
Decide that you want it more than you are afraid of it. -Bill Cosby|#irony,1,"['cultural background', 'emotional contrasts', 'keywords', 'emotional words', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, emotional contrasts, keywords, emotional words, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Decide that you want it more than you are afraid of it. -Bill Cosby|#irony\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'topic', 'special symbols', 'language style', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, topic, special symbols, language style, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Decide that you want it more than you are afraid of it. -Bill Cosby|#irony\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['surface emotion', 'cultural background', 'punctuation', 'special symbols', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, cultural background, punctuation, special symbols, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Decide that you want it more than you are afraid of it. -Bill Cosby|#irony\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
"Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town.",0,"['cultural background', 'emotional contrasts', 'language style', 'topic', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, emotional contrasts, language style, topic, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'cultural background', 'special symbols', 'keywords', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, cultural background, special symbols, keywords, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional words', 'context', 'rhetorical devices', 'punctuation', 'surface emotion']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional words, context, rhetorical devices, punctuation, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
Merry Christmas to all those soldiers out there that couldn't make it home! I love you all �?,0,"['cultural background', 'punctuation', 'topic', 'surface emotion', 'keywords']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: cultural background, punctuation, topic, surface emotion, keywords from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Merry Christmas to all those soldiers out there that couldn't make it home! I love you all �?\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['special symbols', 'topic', 'emotional words', 'punctuation', 'context']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: special symbols, topic, emotional words, punctuation, context from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Merry Christmas to all those soldiers out there that couldn't make it home! I love you all �?\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'rhetorical devices', 'keywords', 'punctuation', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, rhetorical devices, keywords, punctuation, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Merry Christmas to all those soldiers out there that couldn't make it home! I love you all �?\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
About as relevant as Michael Sam and Jason Collins. RT @eonline: Major League Baseball umpire Dale Scott comes out as gay.,0,"['surface emotion', 'special symbols', 'keywords', 'common knowledge', 'language style']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: surface emotion, special symbols, keywords, common knowledge, language style from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        About as relevant as Michael Sam and Jason Collins. RT @eonline: Major League Baseball umpire Dale Scott comes out as gay.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['punctuation', 'emotional words', 'surface emotion', 'rhetorical devices', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: punctuation, emotional words, surface emotion, rhetorical devices, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        About as relevant as Michael Sam and Jason Collins. RT @eonline: Major League Baseball umpire Dale Scott comes out as gay.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['context', 'cultural background', 'keywords', 'common knowledge', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, cultural background, keywords, common knowledge, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        About as relevant as Michael Sam and Jason Collins. RT @eonline: Major League Baseball umpire Dale Scott comes out as gay.\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem,0,"['language style', 'cultural background', 'rhetorical devices', 'keywords', 'surface emotion']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: language style, cultural background, rhetorical devices, keywords, surface emotion from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['rhetorical devices', 'keywords', 'punctuation', 'language style', 'emotional words']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, keywords, punctuation, language style, emotional words from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['rhetorical devices', 'surface emotion', 'cultural background', 'punctuation', 'common knowledge']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: rhetorical devices, surface emotion, cultural background, punctuation, common knowledge from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm,1,"['context', 'language style', 'surface emotion', 'special symbols', 'rhetorical devices']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: context, language style, surface emotion, special symbols, rhetorical devices from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['topic', 'emotional contrasts', 'language style', 'rhetorical devices', 'special symbols']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: topic, emotional contrasts, language style, rhetorical devices, special symbols from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]","['emotional contrasts', 'emotional words', 'special symbols', 'punctuation', 'topic']","[{'role': 'user', 'content': ""\n        ### Instruction:\n        You are a sarcasm classification classifier. Extract the following cues: emotional contrasts, emotional words, special symbols, punctuation, topic from the Input text, to assign a correct label of the Input text from ['Not Sarcastic', 'Sarcastic'].'''\n\n        ### Input:\n        itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm\n\n        ### Response: \n\n        ### Label: \n\n        ""}]",sarcastic,1,sarcastic,1,sarcastic,1,1
